ID,pond,species,mass,svl,year
SR#_RB8,SRP,red-backed,0.6,33,2018
SR#_RB9,SRP,red-backed,1.1,44,2018
SR#_RB10,SRP,red-backed,1.2,39,2018
SR#_RB11,SRP,red-backed,0.6,31,2018
SR#_RB12,SRP,red-backed,0.3,30,2018
SR#_RB13,SRP,red-backed,0.2,29,2018
SR#_RB14,SRP,red-backed,0.7,35,2018
SR#_RB15,SRP,red-backed,1.1,42,2018
SR#_RB16,SRP,red-backed,1.1,41,2018
SR#_RB17,SRP,red-backed,0.5,29,2018
SR#_RB18,SRP,red-backed,1.6,44,2018
SR#_RB19,SRP,red-backed,1,43,2018
SR#_RB20,SRP,red-backed,1,37,2018
SR#_BS1,SRP,blue-spotted,5.8,60,2018
SR#_BS2,SRP,blue-spotted,4.2,51,2018
SR#_BS3,SRP,blue-spotted,1,30,2018
SR2_RB1,SR2,red-backed,1.2,45,2018
SR2_RB2,SR2,red-backed,0.7,40,2018
SR2_RB3,SR2,red-backed,0.8,40,2018
SR2_RB4,SR2,red-backed,0.5,33,2018
SR2_RB5,SR2,red-backed,0.8,36,2018
SR2_RB6,SR2,red-backed,1,36,2018
SR2_RB7,SR2,red-backed,1,34,2018
SR2_BS1,SR2,blue-spotted,0.6,28,2018
SR1_SP1,SR1,spotted,7.5,65,2018
SR1_SP2,SR1,spotted,1.5,35,2018
SR1_SP3,SR1,spotted,3.1,44,2018
SR1_SP4,SR1,spotted,1.6,31,2018
SR1_RB1,SR1,red-backed,0.9,38,2018
SR1_RB2,SR1,red-backed,1.3,45,2018
SR1_RB3,SR1,red-backed,1.6,51,2018
SR1_RB4,SR1,red-backed,0.5,33,2018
SR1_RB5,SR1,red-backed,0.7,32,2018
SR1_RB6,SR1,red-backed,0.6,38,2018
SR1_RB7,SR1,red-backed,1.2,48,2018
SR1_RB8,SR1,red-backed,1,41,2018
SR1_RB9,SR1,red-backed,0.9,38,2018
SR1_RB10,SR1,red-backed,1.1,42,2018
SR1_RB11,SR1,red-backed,0.6,36,2018
SR1_RB12,SR1,red-backed,1.4,47,2018
SR1_RB13,SR1,red-backed,1.3,46,2018
SR1_RB14,SR1,red-backed,0.8,42,2018
SR1_RB15,SR1,red-backed,0.4,31,2018
SR1_RB16,SR1,red-backed,1.1,41,2018
SR1_RB17,SR1,red-backed,0.6,32,2018
SR1_RB18,SR1,red-backed,0.9,37,2018
SR1_RB19,SR1,red-backed,0.5,34,2018
SR1_RB20,SR1,red-backed,0.3,30,2018
SR1_RB21,SR1,red-backed,0.7,33,2018
SR1_RB22,SR1,red-backed,0.7,42,2018
SR1_RB23,SR1,red-backed,0.4,31,2018
SR1_BS1,SR1,blue-spotted,3.5,45,2018
SR1_BS2,SR1,blue-spotted,2.8,49,2018
SR1_BS3,SR1,blue-spotted,0.7,29,2018
SR1_BS4,SR1,blue-spotted,2.5,43,2018
