site,species,DBH,height,crown.area,stem.biomass,branch.biomass,twigs.biomas,AGB,outlier
Neno,Terminalia sericea,29.5,8.4,133.24,185.02,463.52,67.92,716.46,TRUE
Neno,Celtis durandii,34.4,13,75.23,271.52,158.82,,430.34,FALSE
Neno,Celtis durandii,34.6,11.8,96.76,203.75,233.62,,437.38,FALSE
Neno,Celtis durandii,35.1,11.9,101.08,211.1,83.74,,294.84,FALSE
Neno,Celtis durandii,38.9,15.2,77.31,451.82,253.18,,705,FALSE
Neno,Sclerocarya caffra,41.4,10.4,122.52,275.12,345.71,64.86,685.68,FALSE
Neno,Acacia nigrescens,43.2,13,87.65,456.88,666.88,827.52,1951.27,TRUE
Neno,Sclerocarya caffra,46.1,12.2,123.65,582.75,633.84,77.85,1294.44,FALSE
Neno,Sclerocarya caffra,49,16,230.99,570.34,1144.01,55.91,1770.26,FALSE
Neno,Sclerocarya caffra,50.8,13.5,167.13,485.08,833.14,56.1,1374.31,FALSE
Neno,Celtis durandii,74.6,19.8,236.8,1177.87,1376.6,,2554.47,FALSE
Neno,Sterculia africana,76,11.9,86.56,603.34,637.29,,1240.64,TRUE
Salima,Albizia harveyi,6.5,4.1,13.95,4.13,,2.04,6.16,FALSE
Salima,Cassia spectabilis,7.9,4.7,2.14,10.78,,6.97,17.76,FALSE
Salima,Philenoptera violacea,8.2,4.3,3.96,9.17,2.18,2.01,13.36,FALSE
Salima,Piliostigma thonningii,9,4.6,11.95,10.46,,10.2,20.65,FALSE
Salima,Bauhinia spp,13.6,4.8,16.24,19.94,19.73,14.51,54.17,FALSE
Salima,Nchezime,15,10,31.65,77.22,,11.95,89.17,FALSE
Salima,Faidherbia albida,16.9,8.9,19.23,42.35,,13.88,56.24,FALSE
Salima,Combretum fragrans,17,5.8,33.51,39.81,54.03,15.14,108.98,FALSE
Salima,Combretum fragrans,17.4,7.4,30.66,63,22.8,18.26,104.07,FALSE
Salima,Faidherbia albida,19,9.3,14.45,51.05,,29.81,80.87,FALSE
Salima,Kigelia aethiopica,19,5.5,20.4,52.05,32.88,19.33,104.26,FALSE
Salima,Piliostigma thonningii,22.3,6.7,30.68,67.96,41.34,14.62,123.92,FALSE
Salima,Sclerocarya caffra,22.7,8.6,26.64,67.96,34.07,13.9,115.93,FALSE
Salima,Mangifera indica,23.3,4.8,35.74,39.32,135.28,31.44,206.04,FALSE
Salima,Bauhinia spp,24.5,9,72.35,91.02,200.2,57.14,348.37,FALSE
Salima,Philenoptera violacea,26.1,7.8,16.82,128.96,43.68,25.54,198.17,FALSE
Salima,Acacia polyacantha,26.6,9.7,70.85,87.93,161.13,,249.07,FALSE
Salima,Acacia polyacantha,27.3,9.9,78.04,96.18,125.21,27.41,248.81,FALSE
Salima,Albizia lebbeck,28,10.8,83.2,125.49,70.53,17.6,213.62,FALSE
Salima,Kigelia pinnata,28.5,7.8,49.07,152.42,242.7,39.45,434.57,FALSE
Salima,Nchezime,28.5,15.8,111.23,289.11,182.5,22.23,493.83,FALSE
Salima,Bauhinia spp,29.3,6.3,80.58,125.97,219.23,51.88,397.09,FALSE
Salima,Piliostigma thonningii,30.7,4.3,61.5,99.18,127.56,39.65,266.39,FALSE
Salima,Albizia lebbeck,30.9,11.8,83.13,161.34,65.12,16.8,243.26,FALSE
Salima,Faidherbia albida,31.1,12.1,60.08,110.42,61.54,13.69,185.65,FALSE
Salima,Acacia polyacantha,32.5,10,116.77,199.62,188.98,35.04,423.64,FALSE
Salima,Acacia polyacantha,36.4,12.3,120.87,306.7,271.39,35.41,613.5,FALSE
Salima,Sclerocarya caffra,38.6,8.1,96.7,205.85,271.08,42.03,518.96,FALSE
Salima,Faidherbia albida,39.4,15.7,70.12,232.24,160.9,44.08,437.22,FALSE
Salima,Faidherbia albida,39.6,17.2,61.43,297.39,113.73,26.14,437.25,FALSE
Salima,Faidherbia albida,44,17,72.98,354.88,196.06,35.39,586.33,FALSE
Salima,Faidherbia albida,44.1,15.4,148.94,375.38,249.36,70.69,695.43,FALSE
Salima,Albizia lebbeck,45.4,13,195.78,279.41,579.44,62.78,921.62,FALSE
Salima,Kigelia aethiopica,46,9.3,65.05,324.12,531.16,67.24,922.52,FALSE
Salima,Sclerocarya caffra,46.4,13.6,136.46,578.18,156.67,66.22,801.07,FALSE
Salima,Faidherbia albida,47.9,16.6,128.21,389.47,260.11,77.01,726.59,FALSE
Salima,Albizia lebbeck,49.7,13.4,191.01,430.27,416.73,63.53,910.53,FALSE
Salima,Sclerocarya caffra,50.3,9.3,134.4,271.75,501.66,93.85,867.26,FALSE
Salima,Acacia polyacantha,58.5,14.1,316.86,814.47,942.17,34.8,1791.44,FALSE
Salima,Faidherbia albida,67.2,16.4,151.62,527.68,686.63,160.51,1374.82,FALSE
Salima,Faidherbia albida,67.2,18.7,161.57,790.38,1029.4,205.53,2025.3,FALSE
Salima,Pterocarpus angolensis,73.4,11,157.02,,1309.04,40.4,1349.44,FALSE
Salima,Kigelia aethiopica,76.4,14.6,53.98,728.05,889.06,47.48,1664.59,FALSE
Salima,Faidherbia albida,96,24.2,383.47,1989.51,1570.4,64.22,3624.12,FALSE
Salima,Faidherbia albida,98,23.1,168.96,2028.05,1156.51,207.61,3392.16,FALSE
Salima,Sclerocarya caffra,98.4,15.8,315.26,2166.89,3008.87,182.03,5357.8,FALSE
Salima,Faidherbia albida,105,16.7,397.22,1938.55,1986.92,159.3,4084.76,FALSE
