max.count,mr.estimate,season
75,502,breeding
130,459,breeding
281,647,breeding
309,844,breeding
340,879,breeding
213,374,non-breeding
274,376,non-breeding
284,409,non-breeding
276,582,non-breeding
361,492,non-breeding
352,599,non-breeding
426,758,non-breeding
